rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,scheme_description,counts,latitude,longitude
1,statens jordbruksverk,18270721.9406,0.016339829334870277,"Jönköping, Jönköpings län, 55182 Jönköping",9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ 2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4,"I.1 - Single payment scheme – Title III _&_ VI.25 Technical assistance (Articles 51 to 54) _&_ I.2 - Single area payment scheme – Title V, Chapter 2 _&_ VI.21 Cooperation (Article 35)","Knowledge transfer and information actions (Article 14) _&_ Technical assistance (Articles 51 to 54) _&_ Advisory services, farm management and farm relief services (Article 15) _&_ Cooperation (Article 35)",Rural Development Fund,6,,
2,globalconnect ab,8123829.2946,0.007265284023857484,"Uppsala, Uppsala län, 75381 Uppsala",ba90013a92ee3fa1895b18b70992e7a25e867a0b,"I.7 - Specific support – Title III, Chapter 5",Basic services and village renewal in rural areas (Article 20),Rural Development Fund,1,,
3,skanova aktiebolag,4627883.44424,0.004138797903355864,"Solna, Stockholms län, 16903 Solna",ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 4653c9f2f51402705ec102b27e15a8a23edce35e,"I.7 - Specific support – Title III, Chapter 5 _&_ IV/A.7 - Basic services and village renewal in rural areas",Basic services and village renewal in rural areas (Article 20) _&_ Basic services and village renewal in rural areas,Rural Development Fund,2,,
4,zitius service delivery aktiebolag,4155294.95144,0.0037161536672342343,"Göteborg, Västra Götalands län, 41664 Göteborg",ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 12e667f2468f92e4442ccc751d739bf51c34b896,"I.7 - Specific support – Title III, Chapter 5 _&_ VI.24 Support for LEADER local development (community-led local development) (Arti-cle 35 of Regulation (EU) No 1303/2013 of the European Parliament and of the Council6)",Basic services and village renewal in rural areas (Article 20) _&_ Support for LEADER local development (community-led local development) (Arti-cle 35 of Regulation (EU) No 1303/2013 of the European Parliament and of the Council6),Rural Development Fund,2,,
5,länsstyrelsen i västra götalands län,3577633.07396,0.003199540447353227,"Göteborg, Västra Götalands län, 40340 Göteborg",c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716,"VI.25 Technical assistance (Articles 51 to 54) _&_ I.1 - Single payment scheme – Title III _&_ I.2 - Single area payment scheme – Title V, Chapter 2 _&_ VI.15 Agri-environment-climate (Article 28) _&_ II.1 - Basic payment scheme - Title III, Sections 1, 2, 3 and 5 _&_ VI.21 Cooperation (Article 35) _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ II.10 - Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013","Technical assistance (Articles 51 to 54) _&_ Knowledge transfer and information actions (Article 14) _&_ Advisory services, farm management and farm relief services (Article 15) _&_ Agri-environment-climate (Article 28) _&_ Basic payment scheme (Title III, Chapter 1, Sections 1, 2, 3 and 5) _&_ Cooperation (Article 35) _&_ Payment for agricultural practices beneficial for the climate and the environment (Title III, Chapter 3) _&_ Measures set out in Annex I to Council Regulation (EC) No 73/20092",Rural Development Fund _&_ Guarantee Fund direct support,18,,
6,länsstyrelsen i jämtlands län,3212598.4522800003,0.0028730835378254216,"Östersund, Jämtlands län, 83186 Östersund",9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ 2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716 _&_ df6edca01bf13388eb18528622472ecc5db99198,"I.1 - Single payment scheme – Title III _&_ VI.25 Technical assistance (Articles 51 to 54) _&_ I.2 - Single area payment scheme – Title V, Chapter 2 _&_ VI.15 Agri-environment-climate (Article 28) _&_ VI.21 Cooperation (Article 35) _&_ II.1 - Basic payment scheme - Title III, Sections 1, 2, 3 and 5 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ II.10 - Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013 _&_ VI.18 Payments to areas facing natural or other spe-cific constraints (Article 31)","Knowledge transfer and information actions (Article 14) _&_ Technical assistance (Articles 51 to 54) _&_ Advisory services, farm management and farm relief services (Article 15) _&_ Agri-environment-climate (Article 28) _&_ Cooperation (Article 35) _&_ Basic payment scheme (Title III, Chapter 1, Sections 1, 2, 3 and 5) _&_ Payment for agricultural practices beneficial for the climate and the environment (Title III, Chapter 3) _&_ Measures set out in Annex I to Council Regulation (EC) No 73/20092 _&_ Payments to areas facing natural or other spe-cific constraints (Article 31)",Rural Development Fund _&_ Guarantee Fund direct support,17,,
7,sydgrönt ek för,2748868.55324,0.0024583616985667045,"Helsingborg, Skåne län, 25669 Helsingborg",97805dfaccd02b7468dfb07b58bd8cfca984800d _&_ e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32,"IV.6 Aid in the fruit and vegetables sector (Chapter II, Section 3) _&_ II.1 - Basic payment scheme - Title III, Sections 1, 2, 3 and 5 _&_ II.10 - Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013 _&_ VI.15 Agri-environment-climate (Article 28)","Aid in the fruit and vegetables sector (Chapter II, Section 3) _&_ Basic payment scheme (Title III, Chapter 1, Sections 1, 2, 3 and 5) _&_ Measures set out in Annex I to Council Regulation (EC) No 73/20092 _&_ Agri-environment-climate (Article 28)",Guarantee Fund other _&_ Guarantee Fund direct support _&_ Rural Development Fund,4,,
8,västervik miljö och energi ab,2736784.08072,0.002447554341352212,"Västervik, Kalmar län, 59321 Västervik",ba90013a92ee3fa1895b18b70992e7a25e867a0b,"I.7 - Specific support – Title III, Chapter 5",Basic services and village renewal in rural areas (Article 20),Rural Development Fund,1,,
9,karlshamn energi ab,2554561.1092,0.0022845891194409017,"Karlshamn, Blekinge län, 37423 Karlshamn",ba90013a92ee3fa1895b18b70992e7a25e867a0b,"I.7 - Specific support – Title III, Chapter 5",Basic services and village renewal in rural areas (Article 20),Rural Development Fund,1,,
10,sollentuna kommun,2550827.87208,0.002281250419546846,"Sollentuna, Stockholms län, 19186 Sollentuna",ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 12e667f2468f92e4442ccc751d739bf51c34b896 _&_ 141bc77784b65c7c4d14bce3d0ba4f914978ff7c,"I.7 - Specific support – Title III, Chapter 5 _&_ VI.24 Support for LEADER local development (community-led local development) (Arti-cle 35 of Regulation (EU) No 1303/2013 of the European Parliament and of the Council6) _&_ IV.3 The EU school scheme, school fruit and school milk schemes (Chapter II, Section 1)","Basic services and village renewal in rural areas (Article 20) _&_ Support for LEADER local development (community-led local development) (Arti-cle 35 of Regulation (EU) No 1303/2013 of the European Parliament and of the Council6) _&_ The EU school scheme, school fruit and school milk schemes (Chapter II, Section 1)",Rural Development Fund _&_ Guarantee Fund other,4,,
